20221130;7; 213 311 kr; 170 649 kr; 40 034 kr;23.5 %;104; 2 051 kr; 205 059 kr
20221201;7; 134 296 kr; 107 437 kr; 31 083 kr;28.9 %;110; 1 221 kr; 268 117 kr
20221202;7; 162 214 kr; 129 771 kr; 20 712 kr;16.0 %;154; 1 053 kr; 6 657 kr
20221203;7; 131 272 kr; 105 018 kr; 25 087 kr;23.9 %;130; 1 010 kr; 9 570 kr
20221205;7; 151 486 kr; 121 189 kr; 29 852 kr;24.6 %;124; 1 222 kr;- 9 311 kr
20221206;7; 149 340 kr; 119 472 kr; 45 417 kr;38.0 %;109; 1 370 kr; 78 834 kr
20221207;7; 81 960 kr; 65 568 kr; 19 441 kr;29.6 %;101;  811 kr; 14 265 kr
