No_;Location;Inventory;Saleable qty
004722;120;.000000;.000000
016291;120;.000000;.000000
026506;120;.000000;.000000
004125;120;.000000;.000000
002574;120;.000000;.000000
020022;120;.000000;.000000
022893;120;-1.000000;-1.000000
004109;120;.000000;.000000
007786;120;.000000;.000000
025935;120;-76.680000;-76.680000
009571;120;-2.000000;-2.000000
001425;120;.000000;-1.000000
025891;120;.750000;.750000
016238;120;.000000;.000000
016346;120;.000000;.000000
021583;120;9.000000;9.000000
003520;120;.000000;.000000
025152;120;.000000;.000000
007996;120;.000000;.000000
000313;120;.000000;.000000
025967;120;.000000;.000000
002545;120;13.000000;13.000000
020722;120;.000000;.000000
008005;120;.000000;.000000
015539;120;.000000;.000000
004385;120;.000000;.000000
016490;120;.000000;.000000
006758;120;-2.000000;-2.000000
017881;120;-2.000000;-2.000000
030876;120;.000000;.000000
022102;120;.000000;.000000
030982;120;.000000;.000000
006055;120;.000000;.000000
006584;120;.000000;.000000
039845;120;.000000;.000000
016202;120;.000000;.000000
008597;120;.000000;.000000
025726;120;.000000;.000000
026031;120;17.280000;17.280000
028625;120;.000000;.000000
021028;120;.000000;.000000
017445;120;.000000;.000000
017661;120;.000000;.000000
016314;120;.000000;.000000
003090;120;.000000;.000000
021054;120;-3.240000;-3.240000
000150;120;.000000;.000000
005678;120;.000000;.000000
025794;120;.000000;.000000
017643;120;.000000;.000000
003934;120;.000000;.000000
001370;120;.000000;.000000
017619;120;5.000000;5.000000
026111;120;.000000;.000000
004299;120;.000000;.000000
008650;120;.000000;.000000
008625;120;.000000;.000000
008154;120;.000000;.000000
004172;120;.000000;.000000
016375;120;.000000;.000000
008572;120;.000000;.000000
028918;120;.000000;.000000
025810;120;.000000;.000000
017434;120;.000000;.000000
007809;120;1.000000;1.000000
006619;120;.000000;.000000
005387;120;2.000000;2.000000
013015;120;5.000000;5.000000
005882;120;.000000;.000000
006846;120;.000000;.000000
016590;120;.000000;.000000
008282;120;.000000;.000000
008135;120;.000000;.000000
021034;120;.000000;.000000
003884;120;.000000;.000000
003572;120;-2.000000;-2.000000
003838;120;.000000;.000000
006361;120;.000000;.000000
003146;120;.000000;.000000
003124;120;.000000;.000000
008394;120;.000000;.000000
008176;120;.000000;.000000
002068;120;.000000;.000000
007751;120;.000000;.000000
026360;120;.000000;.000000
006582;120;-5.760000;-5.760000
005796;120;.000000;.000000
017720;120;.000000;.000000
004254;120;.000000;.000000
021675;120;.000000;.000000
031139;120;.000000;.000000
022309;120;.000000;.000000
020936;120;.000000;.000000
016443;120;.000000;.000000
015874;120;-5.000000;-5.000000
003696;120;.000000;.000000
002573;120;2.000000;2.000000
004606;120;.000000;.000000
008616;120;.000000;.000000
007069;120;.000000;.000000
003455;120;.000000;.000000
016569;120;.000000;.000000
003914;120;.000000;.000000
008292;120;3.000000;3.000000
017957;120;.000000;.000000
001455;120;.000000;.000000
002875;120;-.040000;-.040000
016954;120;.000000;.000000
002727;120;.000000;.000000
006428;120;1.000000;1.000000
027412;120;.000000;.000000
017429;120;.000000;.000000
001948;120;.000000;.000000
002374;120;8.000000;8.000000
003041;120;.000000;.000000
022269;120;.000000;.000000
003582;120;.000000;.000000
012307;120;.000000;.000000
006363;120;.000000;.000000
005360;120;.000000;.000000
001477;120;.000000;.000000
005870;120;.000000;.000000
003080;120;.000000;.000000
023089;120;.000000;.000000
002790;120;.000000;.000000
027693;120;.000000;.000000
005425;120;.000000;.000000
006070;120;.000000;.000000
004328;120;.000000;.000000
018649;120;.000000;.000000
017003;120;.000000;.000000
005875;120;.000000;.000000
003723;120;24.000000;24.000000
020244;120;.000000;.000000
008139;120;.000000;.000000
028634;120;.000000;.000000
005866;120;.000000;.000000
025880;120;-1.000000;-1.000000
025941;120;.020000;.020000
017672;120;.000000;.000000
031228;120;-2.000000;-2.000000
015469;120;.000000;.000000
001949;120;.000000;.000000
006680;120;.000000;.000000
028818;120;.000000;.000000
005929;120;.000000;.000000
003669;120;.000000;.000000
003595;120;.000000;.000000
031188;120;.000000;.000000
026192;120;8.000000;8.000000
008166;120;1.000000;1.000000
005602;120;.000000;.000000
002940;120;-9.000000;-9.000000
016764;120;.000000;.000000
008245;120;.000000;.000000
017524;120;.000000;.000000
019882;120;-1.000000;-1.000000
018577;120;.000000;.000000
022258;120;.000000;.000000
005687;120;.000000;.000000
000753;120;.000000;.000000
023218;120;.000000;.000000
016342;120;.000000;.000000
028687;120;.000000;.000000
006905;120;.000000;.000000
020345;120;.000000;.000000
008697;120;.000000;.000000
017960;120;.000000;.000000
017518;120;.000000;.000000
016844;120;.000000;.000000
017767;120;-1.000000;-1.000000
017310;120;.000000;.000000
003648;120;.000000;.000000
022910;120;1.000000;1.000000
018648;120;.000000;.000000
021546;120;2.000000;2.000000
000764;120;.000000;.000000
016543;120;1.000000;1.000000
008042;120;.000000;.000000
018630;120;.000000;.000000
023002;120;.000000;.000000
006628;120;.000000;.000000
000061;120;.000000;.000000
031486;120;5.000000;5.000000
005674;120;.000000;.000000
022240;120;.000000;.000000
008684;120;.000000;.000000
020265;120;-9.000000;-9.000000
003643;120;.000000;.000000
005566;120;.000000;.000000
015287;120;.000000;.000000
006775;120;.000000;.000000
025563;120;.000000;.000000
