ar;ItemNo;SalesQty;SalesAmountExclVat;SalesAmountInclVat;BF
2022;002465;16.000000;29828.000000;37285.000000;1011.960000
2021;026622;4.000000;188.800000;236.000000;-51.240000
2021;008207;926.000000;24439.320000;30549.150000;17151.700000
2022;008366;23.000000;1440.800000;1801.000000;818.440000
2020;006011;16.000000;547.200000;684.000000;120.360000
2021;002768;155.000000;18444.000000;23055.000000;6174.400000
2024;022220;1.000000;253.600000;317.000000;-2.580000
2023;040981;274.320000;93483.070000;116853.837500;30637.510000
2024;040498;1.000000;86.400000;108.000000;-.240000
2021;004599;64.000000;4036.000000;5045.000000;1020.320000
2020;006404;31.000000;5724.320000;7155.400000;2145.670000
2020;023007;172.000000;17315.690000;21644.612500;7835.320000
2020;015392;15.000000;5008.000000;6260.000000;1820.260000
2023;030964;5.000000;11516.000000;14395.000000;-13360.200000
2020;021912;27.000000;6335.200000;7919.000000;2582.530000
2020;017640;6.000000;331.200000;414.000000;126.600000
2020;006116;250.000000;12984.790000;16230.987500;5834.550000
2020;008586;9.000000;219.200000;274.000000;130.100000
2023;039162;.000000;.000000;.000000;.000000
2023;006716;18.000000;81585.400000;101981.750000;16585.960000
2021;001361;6.000000;539.200000;674.000000;284.200000
2023;018534;27.000000;624.740000;780.925000;217.580000
2024;002368;.000000;.000000;.000000;.000000
2020;008362;312.000000;9647.200000;12059.000000;2853.030000
2022;000641;3.000000;163.200000;204.000000;29.790000
2021;003679;132.000000;18560.800000;23201.000000;10060.660000
2024;023078;2.000000;478.400000;598.000000;109.520000
2021;004207;34.000000;780.080000;975.100000;386.610000
2024;003659;1.000000;44.000000;55.000000;-2.280000
2022;020327;79.000000;241778.400000;302223.000000;50880.560000
2021;003738;293.000000;6851.830000;8564.787500;2646.750000
2022;018642;406.250000;60709.200000;75886.500000;14811.180000
2020;028231;4.000000;60.800000;76.000000;42.880000
2022;026064;86.440000;32474.850000;40593.562500;9990.070000
2020;017887;15.000000;5691.680000;7114.600000;-33.820000
2022;038439;883.486100;264006.620000;330008.275000;39180.370000
2023;019268;41.000000;6135.200000;7669.000000;2653.070000
2023;027319;23.000000;2084.800000;2606.000000;767.550000
2024;002923;1.000000;143.200000;179.000000;73.600000
2022;005696;1087.000000;93124.040000;116405.050000;31111.920000
2022;042412;5.000000;1052.000000;1315.000000;381.450000
2023;042837;182.000000;16625.600000;20782.000000;7697.080000
2022;026093;8.000000;1017.600000;1272.000000;382.880000
2023;048661;3.000000;93.600000;117.000000;37.920000
2023;000415;1.000000;360.000000;450.000000;108.840000
2023;047115;11.000000;970.400000;1213.000000;330.860000
2020;019987;544.000000;15482.160000;19352.700000;7312.880000
2022;003649;46.000000;6752.000000;8440.000000;758.090000
2021;026564;13.000000;269.960000;337.450000;50.650000
2021;003910;53.000000;66638.400000;83298.000000;10409.700000
2023;039882;29.000000;3539.200000;4424.000000;1276.380000
2021;004454;353.000000;337772.360000;422215.450000;83531.170000
2021;027486;11.000000;14751.200000;18439.000000;188.300000
2023;045808;5.000000;989.600000;1237.000000;301.600000
2020;021846;12.000000;5029.220000;6286.525000;1712.060000
2023;026601;120.000000;4570.400000;5713.000000;1619.880000
2021;027305;141.000000;8872.800000;11091.000000;4187.370000
2021;025525;22.000000;3786.560000;4733.200000;1726.700000
2023;022225;17.090000;194.520000;243.150000;56.260000
2021;025273;12.000000;21670.400000;27088.000000;2545.280000
2022;040488;17.000000;2354.400000;2943.000000;784.620000
2023;002384;16.000000;19523.200000;24404.000000;5682.080000
2020;008092;18.000000;259.200000;324.000000;97.920000
2022;006713;67.000000;26306.400000;32883.000000;2191.680000
2020;004033;57.000000;4180.800000;5226.000000;1929.480000
2021;031194;3.000000;3198.400000;3998.000000;888.400000
2020;021176;1.000000;159.200000;199.000000;21.440000
2022;041406;2.000000;190.400000;238.000000;87.800000
2024;005628;2.000000;174.400000;218.000000;63.040000
2024;008282;4.000000;188.800000;236.000000;68.050000
2021;004376;5.000000;764.000000;955.000000;64.000000
2022;042407;13.000000;1661.600000;2077.000000;613.540000
2024;008246;14.000000;1892.800000;2366.000000;766.180000
2020;006855;162.000000;523754.400000;654693.000000;87908.640000
2023;019812;150.000000;24000.000000;30000.000000;8097.000000
2022;003019;171.000000;28953.600000;36192.000000;7454.720000
2023;031254;153.000000;74434.000000;93042.500000;7282.300000
2024;036803;4.000000;1503.370000;1879.212500;-171.670000
2021;005446;10.000000;7192.000000;8990.000000;1714.000000
2023;003814;1.000000;47.200000;59.000000;19.730000
2020;003612;264.000000;27560.930000;34451.162500;6554.450000
2023;018345;15.000000;4944.800000;6181.000000;1087.800000
2021;021549;14.000000;212.800000;266.000000;65.400000
2022;004123;157.000000;11453.110000;14316.387500;3323.590000
2020;022951;29.000000;3895.200000;4869.000000;623.020000
2021;027091;24.000000;1508.800000;1886.000000;558.400000
2020;001009;7.000000;150.640000;188.300000;84.570000
2023;041388;94.000000;14703.000000;18378.750000;6056.820000
2021;004135;531.000000;20502.260000;25627.825000;10979.560000
2022;022890;5.000000;196.000000;245.000000;63.520000
2023;008293;508.000000;16392.000000;20490.000000;8392.000000
2020;002963;4.000000;1116.800000;1396.000000;-119.680000
2023;025449;49.000000;15524.320000;19405.400000;-7043.120000
2024;042645;2.000000;78.400000;98.000000;21.700000
2021;002526;52.000000;2723.910000;3404.887500;1394.950000
2023;022500;1.000000;399.200000;499.000000;148.320000
2024;010924;3.000000;717.600000;897.000000;11.160000
2021;015611;30.000000;5476.800000;6846.000000;1615.800000
2022;028385;6.000000;907.200000;1134.000000;444.740000
2022;016561;38.000000;53401.600000;66752.000000;8705.080000
2020;016246;.900000;143.280000;179.100000;-11.960000
2022;038586;92.000000;13320.000000;16650.000000;2349.420000
2024;021586;1.000000;119.200000;149.000000;8.840000
2022;048971;259.160000;110410.500000;138013.125000;52083.960000
2021;006426;47.000000;5978.400000;7473.000000;2713.260000
2020;015404;3.000000;310.400000;388.000000;31.730000
2020;023278;23.000000;524.000000;655.000000;164.740000
2020;022915;55.000000;1582.400000;1978.000000;703.200000
2022;030923;13.000000;4326.400000;5408.000000;889.860000
2020;027598;23.000000;89144.000000;111430.000000;18960.700000
2024;008646;9.000000;7378.400000;9223.000000;-858.760000
2024;042973;7.000000;76.000000;95.000000;-3.030000
2021;001680;846.000000;132888.860000;166111.075000;43018.670000
2020;020945;55.000000;1220.000000;1525.000000;850.400000
2024;042504;1.000000;3039.200000;3799.000000;83.520000
2021;028418;335.000000;23100.000000;28875.000000;9834.000000
2020;002611;59.000000;3256.800000;4071.000000;1136.590000
2021;015677;6.000000;475.200000;594.000000;31.680000
2024;021295;9.000000;3352.800000;4191.000000;-61.080000
2024;012672;1.000000;79.200000;99.000000;46.230000
2021;028641;2.000000;2638.400000;3298.000000;1227.200000
2020;003786;39.000000;19469.600000;24337.000000;5541.400000
2024;042869;2.000000;78.400000;98.000000;34.320000
2023;020352;13.000000;29591.200000;36989.000000;6841.280000
2021;019547;2.000000;356.800000;446.000000;84.000000
2021;021329;2.000000;27.200000;34.000000;4.800000
2021;028841;6.000000;2756.000000;3445.000000;1147.070000
2024;005563;1.000000;79.200000;99.000000;29.320000
2023;001674;1.000000;79.200000;99.000000;20.790000
2021;025962;58.000000;3646.400000;4558.000000;1428.800000
2022;003590;44.000000;3548.800000;4436.000000;1269.960000
2022;000532;43.000000;2221.600000;2777.000000;-1070.050000
2022;022290;134.000000;5170.740000;6463.425000;2424.460000
2022;027495;18.000000;254.400000;318.000000;44.520000
2020;021640;41.000000;32767.200000;40959.000000;11562.240000
2021;021503;39.000000;1832.000000;2290.000000;791.480000
2023;031141;91.000000;11799.320000;14749.150000;4143.320000
2023;021465;2.000000;123.200000;154.000000;2.560000
2022;041035;11.000000;2928.800000;3661.000000;1059.570000
2024;026576;2.000000;126.400000;158.000000;53.000000
2024;025710;3.000000;3837.600000;4797.000000;315.840000
2021;028188;9.000000;268.000000;335.000000;152.640000
2023;023247;33.000000;2988.000000;3735.000000;1647.040000
2020;023008;114.000000;6262.400000;7828.000000;3001.420000
2020;008256;321.000000;25173.200000;31466.500000;11755.390000
2021;015609;61.000000;4831.200000;6039.000000;704.550000
2021;026057;166.000000;52639.080000;65798.850000;15234.300000
2022;000433;14.000000;1892.800000;2366.000000;691.280000
2022;026146;11.000000;1223.200000;1529.000000;445.180000
2022;003435;70.000000;51376.080000;64220.100000;18684.960000
2020;001507;321.000000;4766.230000;5957.787500;2780.480000
2022;001391;47.000000;1437.470000;1796.837500;810.650000
2022;020282;49.000000;6717.590000;8396.987500;1991.880000
2020;021477;16.000000;2358.400000;2948.000000;888.960000
2021;003737;109.000000;2545.680000;3182.100000;983.240000
2020;034815;2729.080000;349569.580000;436961.975000;-232538.260000
2021;000324;15.000000;348.000000;435.000000;143.490000
2023;040331;1.000000;335.200000;419.000000;92.760000
2024;016712;1.000000;95.200000;119.000000;-156.520000
2023;040404;4.000000;15337.600000;19172.000000;-9001.840000
2023;045195;22.000000;1918.400000;2398.000000;789.800000
2021;000864;29.000000;3987.460000;4984.325000;2195.840000
2020;009731;17.000000;11380.000000;14225.000000;2745.840000
2023;000560;7.000000;104.800000;131.000000;6.450000
2024;007996;43.000000;29341.540000;36676.925000;8392.800000
2023;008902;287.000000;6551.710000;8189.637500;5300.180000
2021;008368;372.000000;21031.200000;26289.000000;11615.880000
2022;005567;57.000000;6748.800000;8436.000000;2454.800000
2021;002898;70.200000;18128.460000;22660.575000;623.400000
2021;008222;139.000000;8733.980000;10917.475000;2909.880000
2022;019788;19.000000;2056.800000;2571.000000;683.810000
2023;000477;2.000000;49.600000;62.000000;16.400000
2020;001066;1.000000;23.200000;29.000000;7.360000
2022;002477;50.000000;7116.000000;8895.000000;1852.610000
2020;017452;4.000000;372.800000;466.000000;95.600000
2024;039772;1.000000;23.200000;29.000000;3.070000
2023;025544;4.000000;380.800000;476.000000;167.360000
2020;000684;5.000000;136.800000;171.000000;77.950000
2023;018374;9.000000;352.800000;441.000000;91.800000
2021;004008;76.000000;16983.100000;21228.875000;8053.250000
