Produktnummer;Lev.prono;Strekkode;Beskrivelse;Sortimentskode;Skien;Porsgrunn;Kristiansand;Tonsberg;Arendal;Sandefjord;Larvik;Stock
950212;950212;5708709502126;LOP TREND TOALETTSETE HVIT M/SOFTCLOSE;BL;.000000;.000000;.000000;-2.000000;.000000;.000000;.000000;NULL
950213;950213;5708703950213;LOP TREND UNI TOALETTSETE M/SOFTCLOSE OG LIFT OFF;BL;8.000000;16.000000;6.000000;7.000000;16.000000;4.000000;.000000;NULL
950237;950237;5708703950237;LOP DUSJHYLLE 2ETG. FOR GLASSBYGGERSTEIN KROM;BL;.000000;4.000000;-16.000000;.000000;6.000000;3.000000;3.000000;NULL
950242;950242;5708709502423;HOUSE DUSJHYLLE 2ETG. FOR DUSJHJØRNE MESSING;CD;.000000;NULL;1.000000;7.000000;12.000000;3.000000;-1.000000;NULL
6022943;6022943;7391530067261;TIM xxGB NAUTIC HYGIENIC FLUSH 1500 TOALETT M/SKJULT S-LÅS;UT;.000000;.000000;.000000;.000000;-2.000000;-1.000000;.000000;NULL
6023481;6023481;7391306000393;NSJ NORDSJØ VEVLIM EXTRA NORDSJÖ 15L;BL;6.000000;1.000000;3.000000;-1.000000;4.000000;2.000000;5.000000;NULL
6023485;6023485;7391306000430;NSJ NORDSJØ VÅTROMSLIM NORDSJÖ 15L;BL;10.000000;4.000000;6.000000;6.000000;1.000000;2.000000;3.000000;NULL
6023486;6023486;7391306000454;NSJ NORDSJØ VÅTROMSLIM NORDSJÖ 1L;BL;12.000000;8.000000;2.000000;10.000000;9.000000;4.000000;.000000;NULL
6024117;6024117;5721148069418;NSJ xxNORDSJØ DECOMAX RADIATORSPRAY GRÅHVIT 400ML;UT;6.000000;.000000;5.000000;.000000;2.000000;5.000000;4.000000;NULL
60301-5;60301-5;5705154185614;MÅN xxGEBERIT MAPRESS BEND 90GR M/1 MUFFE 12MM KOBBER 5PK.;UT;-2.000000;NULL;.000000;.000000;.000000;4.000000;3.000000;NULL
60334;60334;5708614603345;MIL xxBOXER SLAGBORMASKIN/-MEISEL 1200W;UT;.000000;.000000;.000000;.000000;.000000;.000000;.000000;NULL
60404-2;60404-2;5705154185829;MÅN xxGEBERIT MAPRESS BEND 90GR M/2 NIPPEL 22MM KOBBER 2PK.;UT;-1.000000;NULL;.000000;.000000;.000000;5.000000;5.000000;NULL
9406-3017;9406-3017;7052870120329;BAL ALLOC SOKKELLIST MED BUNNSPOR;BL;93.000000;71.000000;53.000000;37.000000;144.000000;89.000000;40.000000;NULL
9411-4401;9411-4401;7052870127786;BERRYALLOC KØBENHAVN EIK T-LIST 2,4 M;BL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9411-5581;9411-5581;5414404140012;BERRYALLOC LA RAMBLA T-LIST 2,4M;BL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
9451-3017;9451-3017;7052870135736;BAL ALLOC ENDEPROFIL 1.2 M ALU-SILVER;BL;1.000000;15.000000;10.000000;14.000000;29.000000;14.000000;7.000000;NULL
9453-3017;9453-3017;7052870135743;BAL ALLOC INNVENDIG HJØRNEPROFIL 0.6 M ALU-WHITE;BL;19.000000;9.000000;8.000000;11.000000;5.000000;8.000000;16.000000;NULL
950220;950220;5708703950220;LOP TREND NORDIC TOALETTSETE HVIT M/SOFTCLOSE OG LIFT OFF;BL;8.000000;.000000;.000000;2.000000;6.000000;8.000000;3.000000;NULL
950243;950243;5708709502430;HOUSE DUSJHYLLE 2ETG. FOR DUSJHJØRNE MATT SORT;BL;-4.000000;6.000000;.000000;1.000000;37.000000;.000000;.000000;NULL
950244;950244;5708703950244;LOP HOUSE DUSJHYLLE 2ETG. FOR DUSJHJØRNE KROM;BL;.000000;.000000;6.000000;-3.000000;25.000000;13.000000;3.000000;NULL
950282;950282;5708703950282;LOP xxTREND UNI TOALETTSETE SORT M/SOFTCLOSE OG LIFT-OFF;UT;.000000;.000000;.000000;.000000;-1.000000;.000000;.000000;NULL
950299;950299;5708703950299;LOP HOUSE ENKEL HYLLE TIL BLANDEBATTERI;BL;2.000000;5.000000;.000000;2.000000;12.000000;2.000000;1.000000;NULL
950301;950301;5708709503017;HOUSE ENKEL HYLLE TIL BLANDEBATTERI MESSING;CD;4.000000;NULL;4.000000;-1.000000;11.000000;2.000000;NULL;NULL
950305;950305;5708703950305;LOP HOUSE DOBBELT HYLLE TIL BLANDEBATTERI;BL;.000000;3.000000;.000000;.000000;3.000000;3.000000;2.000000;NULL
950306;950306;5708709503062;HOUSE DOBBEL DUSJHYLLE TIL BLANDEBATTERI, MATT SORT;BL;.000000;2.000000;.000000;.000000;1.000000;1.000000;1.000000;NULL
950329;950329;5708703950329;LOP HOUSE DUSJHYLLE HØYRE MED 2 KURVER;BL;3.000000;.000000;2.000000;1.000000;3.000000;3.000000;4.000000;NULL
950333;950333;5708709503338;LOP xxHOUSE DUSJHYLLE FOR HJØRNE DOBBEL;UT;1.000000;.000000;.000000;.000000;.000000;.000000;.000000;NULL
950701;950701;5708709507015;LOP CELESTE ABBEY 4-HULLS BADEKARARMATUR;BL;.000000;2.000000;3.000000;.000000;4.000000;3.000000;1.000000;NULL
950703;950703;5708709507039;LOP CELESTE COLLIN BADEKARARMATUR 4-HULLS;BL;.000000;2.000000;1.000000;.000000;2.000000;1.000000;3.000000;NULL
950704;950704;5708709507046;LOP CELESTE DALTON BADEKARARMATUR 4-HULL;BL;2.000000;2.000000;6.000000;1.000000;5.000000;2.000000;1.000000;NULL
950705;950705;5708709507053;LOP CELESTE COLLIN BADEKARARMATUR GULVSTÅENDE;BL;1.000000;.000000;1.000000;2.000000;2.000000;2.000000;1.000000;NULL
950711;950711;5708709507114;LOP xxCELESTE WHITEHAVEN DUSJSETT INKL. TERMOSTAT;UT;.000000;.000000;.000000;-2.000000;.000000;.000000;.000000;NULL
950716;950716;5708709507169;CELESTE MONTROSE DUSJARMATUR;BL;1.000000;.000000;3.000000;5.000000;6.000000;3.000000;2.000000;NULL
950723;950723;5708709507237;CELESTE LEVEN SERVANTARMATUR M/POP-UP;BL;.000000;.000000;7.000000;4.000000;10.000000;3.000000;8.000000;NULL
950724;950724;5708709507244;LOP CELESTE BENTHAM DUSJTERMOSTAT BLACK;BL;9.000000;.000000;10.000000;6.000000;12.000000;.000000;.000000;NULL
950725;950725;5708709507251;LOP CELESTE HEATHALL DUSJSETT M/DUSJTERMOSTAT BLACK;BL;16.000000;-1.000000;10.000000;-2.000000;15.000000;6.000000;7.000000;NULL
950251;950251;5708703950251;LOP TREND SIGN TOALETTSETE HVIT M/SOFTCLOSE OG LIFT-OFF;BL;10.000000;7.000000;.000000;8.000000;5.000000;6.000000;2.000000;NULL
950312;950312;5708703950312;LOP HOUSE DUSJHYLLE VENSTRE MED 2 KURVER;BL;3.000000;.000000;2.000000;1.000000;-1.000000;5.000000;1.000000;NULL
950721;950721;5708709507213;LOP CELESTE BOLTON KJØKKENARMATUR M/AVSTENGNING;BL;6.000000;.000000;7.000000;1.000000;11.000000;4.000000;2.000000;NULL
950728;950728;5708709507282;CELESTE BENTHAM KAR- OG DUSJBATTERI, KROM;BL;.000000;.000000;2.000000;.000000;10.000000;3.000000;4.000000;NULL
950733;950733;5708709507336;LOP CELESTE ROSETTER BLACK 2 STK.;BL;16.000000;21.000000;11.000000;16.000000;33.000000;5.000000;3.000000;NULL
950737;950737;5708709507374;CELESTE HÅNDDUSJ 1 FUNKSJON, SORT;BL;10.000000;10.000000;1.000000;5.000000;9.000000;3.000000;7.000000;NULL
950880;950880;5708709508807;NORTIQ SVINGBAR LUFTBLANDER 22/24 MM.;BL;14.000000;-1.000000;.000000;-1.000000;8.000000;6.000000;8.000000;NULL
9528.00;9528.00;5701951117889;VTR xxKABINETTGJENNOMFØRING;UT;-1.000000;.000000;.000000;.000000;5.000000;.000000;.000000;NULL
9533201.;9533201.;5013669686602;VTR xxSERVANT FOR VEGGMONTERING;UT;-3.000000;.000000;.000000;-3.000000;.000000;-1.000000;-4.000000;NULL
9533205.;9533205.;5907720648572;VTR xxNAUTIC SERVANT CASPIA 44 FIRKANTET;UT;1.000000;.000000;.000000;1.000000;.000000;3.000000;.000000;NULL
954;954;5060209630113;CT1 SUPERFAST HURTIGLIM 20ML;HL;-9.000000;NULL;.000000;16.000000;.000000;14.000000;14.000000;NULL
9572-200;9572-200;7311518004231;BAHCO SMYGVINKEL 9572 200MM;BL;NULL;NULL;NULL;.000000;NULL;NULL;.000000;NULL
960057;960057;5708709600570;xxSQUARE VEDKURV;UT;.000000;NULL;.000000;.000000;.000000;.000000;NULL;NULL
96106;96106;5701159961062;DNL SPARKELTAPE 971 5CM 30M;BL;3.000000;.000000;.000000;.000000;17.000000;10.000000;5.000000;NULL
965;965;5060209630342;CT1 FUG OG LIM MØRKEGRÅ;HL;16.000000;14.000000;18.000000;9.000000;56.000000;29.000000;9.000000;NULL
9653828914;9653828914;5709058054755;UNI xxSERVANTBOLTER 10X100MM 2STK.;UT;.000000;.000000;.000000;.000000;.000000;-2.000000;.000000;NULL
9728257033;9728257033;5709058066970;UNI xxKUPLING M/AVSTEGNING OG DEKKSKIVE 3/4 X 1/2 X 90MM;UT;.000000;.000000;.000000;.000000;19.340000;.000000;.000000;NULL
9742416233;9742416233;5709058054892;UNI xxVASKEMASKINKRAN 3/4 X 1/2;UT;-1.000000;.000000;.000000;.000000;10.000000;.000000;.000000;NULL
9743171030;9743171030;5709058127237;UNI xxNIPPELMUFFE 1/2" 30 MM KROM;UT;.000000;.000000;.000000;.000000;NULL;.000000;.000000;NULL
9743523006;9743523006;5709058111540;UNI xxMINI KUGLEKRAN 3/4";UT;.000000;.000000;.000000;.000000;8.000000;.000000;.000000;NULL
9743728410;9743728410;5709058138530;UNI xxMINI KULEKRAN M/2 KUPL. 10X10MM;UT;.000000;.000000;.000000;.000000;2.000000;.000000;.000000;NULL
9744524134;9744524134;5709058138486;UNI xxPIPEFIX KUPLING 3/8" X 12MM;UT;.000000;.000000;NULL;.000000;-5.000000;-4.000000;.000000;NULL
9744950022;9744950022;5709058158453;UNI xxOVERGANG 22M X 1/2"KROM;UT;.000000;.000000;.000000;.000000;NULL;-1.000000;.000000;NULL
9747658010;9747658010;5709058054724;UNI xxRECORDPAKNING F/KOMBIVANNLÅS 1 1/4;UT;.000000;.000000;.000000;.000000;-10.000000;.000000;.000000;NULL
9747694010;9747694010;5709058054632;UNI xxGUMMIPAKNING 1 1/4;UT;.000000;.000000;.000000;.000000;1.000000;-1.000000;.000000;NULL
9747931011;9747931011;5709058054045;UNI xxPROPP MED KJEDEFESTE 43.0MM;UT;.000000;.000000;NULL;.000000;-12.000000;-2.000000;.000000;NULL
9747931145;9747931145;5709058054052;UNI xxPROPP MED KJEDEFESTE 45.5MM;UT;.000000;.000000;.000000;.000000;-2.000000;.000000;.000000;NULL
9750341010;9750341010;5709058127985;UNI xxMUFFE 32 MM KROM;UT;.000000;.000000;.000000;.000000;NULL;-1.000000;.000000;NULL
9750365333;9750365333;5709058067014;UNI xxSKJØTEUNION 32X32MM HVIT PLAST;UT;.000000;.000000;.000000;.000000;3.000000;.000000;.000000;NULL
9750410011;9750410011;5709058067007;UNI xxUNION 1 1/2 X 32 MM HVIT PLAST;UT;.000000;.000000;.000000;.000000;-4.000000;.000000;.000000;NULL
9792000;9792000;7393197979208;ALC xxKROK TIL SPANN STD;UT;4.000000;.000000;9.000000;.000000;.000000;4.000000;11.000000;NULL
98319;98319;7023670983193;FLEXIT MOTOR RESERVE TIL ULV 100/125 165W 3POL;BL;NULL;-1.000000;NULL;2.000000;2.000000;1.000000;1.000000;NULL
9965547007;9965547007;5032227470422;WD40 AEROSOL MULTISPRAY 240ML;BL;24.000000;NULL;17.000000;26.166700;20.000000;10.000000;15.000000;NULL
950727;950727;5708709507275;CELESTE FARNELL SERVANTARMATUR;BL;9.000000;.000000;1.000000;5.000000;16.000000;1.000000;2.000000;NULL
950729;950729;5708709507299;CELESTE BENTHAM KAR- OG DUSJBATTERI, SORT;BL;6.000000;8.000000;1.000000;4.000000;14.000000;4.000000;3.000000;NULL
950730;950730;5708709507305;CELESTE HØY ROSETT Ø32 MM. 2 STK.;BL;-11.000000;8.000000;14.000000;7.000000;5.000000;2.000000;5.000000;NULL
